World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009.18,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18,Completeness_of_birth_reg_2009.18,Completeness_of_death_reg_2008.16,alpha_2,alpha_3,numeric,latitude,longitude
Belarus,6.3,61.4,35.8,318,1151.4,0.2,4.1,11.4,124.2,100,100,34,27,112,53,28
Belgium,10,84.1,15.9,4149.4,4667.9,0,3.3,11.1,89.8,100,100,20,19,56,50.8333,4
Belize,6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96,100,35,28,84,17.25,-88.75
Benin,3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,-99,25,20,204,9.5,2.25
Bhutan,3.5,74,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100,-99,31,34,64,27.5,90.5
Bolivia,6.9,65.7,28,213,496.3,3.2,1.6,0.7,33.9,92,-99,28,30,68,-17,-65
Bosnia and Herzegovina,9.2,70.8,28.7,443.8,1123.4,0.2,2,6.3,32.3,-99,89,17,26,70,44,18
Botswana,5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88,-99,33,36,72,-22,24
Brazil,11.8,33.2,43.6,1015.9,1777.5,0.1,2.1,9.7,55.5,96,93,29,31,76,-10,-55
Brunei Darussalam,2.3,94.9,5.1,630.6,1812.4,0,1.8,6.6,-99,-99,89,27,33,96,4.5,114.6667
Bulgaria,8.2,50.6,48,612.5,1577.9,-99,4,5.3,112.7,100,100,22,23,100,43,25
Burkina Faso,6.8,40.1,31.4,40.9,115.6,23.5,0.1,0.6,0.6,76.9,-99,21,21,854,13,-2
Burundi,6.2,29.1,30.5,18.5,50.3,38.6,0.1,0.7,0.4,83.5,-99,24,18,108,-3.5,30
Cabo Verde,5.2,56.8,26,159.1,347.6,15.1,0.8,1.2,16,91,-99,-99,-99,-99,-99,-99
Cambodia,6.1,21.8,58.6,77.7,228.6,18.9,0.2,1,4.2,73.3,-99,114,117,116,13,105
Cameroon,4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66,-99,45,44,120,6,12
Canada,10.5,73.4,14.6,4458.2,4718.3,-99,2.6,9.9,43.9,100,100,36,38,124,60,-95
Cayman Islands,-99,-99,-99,-99,-99,-99,-99,-99,156.8,-99,-99,121,54,136,19.5,-80.5
Central African Republic,4.3,14.9,43.1,16.4,29.9,40.9,0.1,0.2,0.4,61,-99,39,37,140,7,21
Chad,4.5,18.9,61.2,31.7,95,14.6,0,0.4,0.3,12,-99,210,212,148,15,19
Channel Islands,-99,-99,-99,-99,-99,-99,-99,-99,38.7,-99,-99,-99,-99,-99,-99,-99
Chile,8.5,58.5,34.8,1190.5,2002,0,1.1,0.9,59.3,99,100,44,41,152,-30,-71
China,5,58,35.9,398.3,761.5,0,1.8,2.3,40.1,-99,4,46,42,156,35,105
Hong Kong SAR. China,-99,-99,-99,-99,-99,-99,-99,-99,27.8,-99,-99,-99,-99,-99,-99,-99
Macao SAR. China,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Colombia,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98,47,48,170,4,-72
Comoros,7.6,14.6,73.1,59,115.8,10.8,0.2,0.9,-99,87.3,-99,116,49,174,-12.1667,44.25
Congo. Dem. Rep.,3.9,12.3,37.4,20.5,34.5,43.4,0.1,0.5,0.2,24.6,-99,-99,-99,-99,-99,-99
Congo. Rep.,4.6,42.3,49.7,70.4,263.3,3.3,0.1,1.7,0.2,96,-99,-99,-99,-99,-99,-99
Costa Rica,7.6,74.8,22.1,888.9,1248.5,0.3,1.1,0.8,25.5,100,91,48,51,188,10,-84
Cote d'Ivoire,4.4,25.8,40.1,67.6,162.6,15,0.2,0.9,2.8,72,-99,-99,-99,-99,-99,-99
Croatia,7.2,78.2,15.4,884.5,1705.2,-99,3,8.1,81.2,100,100,95,97,191,45.1667,15.5
Cuba,12.2,89.6,10.3,970.6,2457.7,0.1,8.2,7.8,100.9,100,98,49,52,192,21.5,-80
Cyprus,6.9,42.2,44.9,1634.4,2270.8,1.2,2,5.3,84.4,100,86,52,55,196,35,33
Czech Republic,7.1,81.9,15,1321.6,2484.6,-99,4.3,8.4,124.5,100,100,53,56,203,49.75,15.5
Denmark,10.4,84.1,13.7,5565.6,5093,-99,4.5,10.3,69,100,98,56,60,208,56,10
