eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,nkill
2.02E+11,2017,9,4,Nigeria,Sub-Saharan Africa,Borno,Ngawo Fato Bulamari,11.831098,13.150967,4
2.02E+11,2017,8,12,Nigeria,Sub-Saharan Africa,Borno,Amarwa,11.831317,13.150848,4
2.02E+11,2017,1,8,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,1,8,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,1,16,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,1,16,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,1,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,1,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,2,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,2,16,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,2,16,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,2,17,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,4
2.02E+11,2017,3,3,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,3
2.02E+11,2017,3,22,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,3,22,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,4,8,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,4,10,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,4,26,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,5,13,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,4
2.02E+11,2017,5,18,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,3
2.02E+11,2017,5,20,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,5,30,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,4
2.02E+11,2017,6,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,7
2.02E+11,2017,6,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,3
2.02E+11,2017,6,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,6,8,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,6,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,6,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,6,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,25,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,26,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,26,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,6,27,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,7,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,7,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,6
2.02E+11,2017,7,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,6
2.02E+11,2017,7,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,6
2.02E+11,2017,7,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,7,17,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,9
2.02E+11,2017,7,18,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,0
2.02E+11,2017,7,18,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,0
2.02E+11,2017,8,4,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,8,4,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,8,4,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,8,15,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,3
2.02E+11,2017,9,5,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,9,8,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,9,17,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,16
2.02E+11,2017,9,17,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,10,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,3
2.02E+11,2017,10,11,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,10,22,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,11,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,2
2.02E+11,2017,11,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,5
2.02E+11,2017,11,7,Nigeria,Sub-Saharan Africa,Borno,Maiduguri,11.840929,13.141459,1
2.02E+11,2017,12,25,Nigeria,Sub-Saharan Africa,Borno,Molai,11.838496,13.135748,4
2.02E+11,2017,5,20,Nigeria,Sub-Saharan Africa,Borno,Mussa,10.73798,13.13072,1
2.02E+11,2017,2,11,Nigeria,Sub-Saharan Africa,Borno,Mussa,10.737778,13.130556,-99
2.02E+11,2017,4,24,Nigeria,Sub-Saharan Africa,Borno,Mammanti,11.75069,13.123055,3
2.02E+11,2017,5,24,Nigeria,Sub-Saharan Africa,Borno,Mammanti,11.75069,13.123055,3
2.02E+11,2017,9,7,Nigeria,Sub-Saharan Africa,Borno,Manjita,11.752206,13.122781,0
2.02E+11,2017,2,10,Nigeria,Sub-Saharan Africa,Borno,Ajiri,11.661077,13.114872,7
2.02E+11,2017,9,4,Niger,Sub-Saharan Africa,Diffa,Nguigmi,14.252816,13.110817,-99
2.02E+11,2017,2,22,Nigeria,Sub-Saharan Africa,Borno,Gajiganna,12.251978,13.105568,-99
2.02E+11,2017,3,11,Nigeria,Sub-Saharan Africa,Borno,Ummarari,11.738414,13.104076,2
2.02E+11,2017,4,24,Nigeria,Sub-Saharan Africa,Borno,Mainari,11.733531,13.084412,4
2.02E+11,2017,7,18,Nigeria,Sub-Saharan Africa,Borno,Dala,11.775833,13.0725,1
2.02E+11,2017,12,28,Nigeria,Sub-Saharan Africa,Borno,Amarwa,11.696901,13.071678,4
2.02E+11,2017,7,25,Nigeria,Sub-Saharan Africa,Borno,Jibi,12.280729,13.06069,69
2.02E+11,2017,6,10,Sweden,Western Europe,Skane,Malmo,55.575121,13.057886,0
2.02E+11,2017,6,11,Sweden,Western Europe,Skane,Malmo,55.575121,13.057886,0
2.02E+11,2017,4,8,Nigeria,Sub-Saharan Africa,Borno,Kayamla,11.677117,13.049067,8
