origin.name,origin.code,gender.name,gender.code,dest.name,dest.code,2000,origin.lat,origin.lon,dest.lat,dest.lon
New Caledonia,NCL,Total,TOT,France,FRA,7831,-20.904305,165.618042,46.227638,2.213749
New Caledonia,NCL,Total,TOT,Malawi,MWI,7658,-20.904305,165.618042,-13.254308,34.301525
New Caledonia,NCL,Total,TOT,Samoa,WSM,7658,-20.904305,165.618042,-13.759029,-172.104629
New Zealand,NZL,Total,TOT,Canada,CAN,7895,-40.900557,174.885971,56.130366,-106.346771
New Zealand,NZL,Total,TOT,Finland,FIN,7851,-40.900557,174.885971,61.92411,25.748151
New Zealand,NZL,Total,TOT,Malawi,MWI,7658,-40.900557,174.885971,-13.254308,34.301525
New Zealand,NZL,Total,TOT,Rwanda,RWA,7612,-40.900557,174.885971,-1.940278,29.873888
New Zealand,NZL,Total,TOT,Vanuatu,VUT,7659,-40.900557,174.885971,-15.376706,166.959158
Nicaragua,NIC,Total,TOT,Armenia,ARM,7882,12.865416,-85.207229,40.069099,45.038189
Nicaragua,NIC,Total,TOT,Canada,CAN,7770,12.865416,-85.207229,56.130366,-106.346771
Nicaragua,NIC,Total,TOT,France,FRA,7669,12.865416,-85.207229,46.227638,2.213749
Nicaragua,NIC,Total,TOT,Switzerland,CHE,7948,12.865416,-85.207229,46.818188,8.227512
Niger,NER,Total,TOT,Central African Republic,CAF,7814,17.607789,8.081666,6.611111,20.939444
Niger,NER,Total,TOT,Guinea,GIN,7781,17.607789,8.081666,9.945587,-9.696645
Niger,NER,Total,TOT,Guinea-Bissau,GNB,7658,17.607789,8.081666,11.803749,-15.180413
Nigeria,NGA,Total,TOT,Ghana,GHA,7880,9.081999,8.675277,7.946527,-1.023194
Nigeria,NGA,Total,TOT,Slovenia,SVN,7658,9.081999,8.675277,46.151241,14.995463
Nigeria,NGA,Total,TOT,Vietnam,VNM,7658,9.081999,8.675277,14.058324,108.277199
Niue,NIU,Total,TOT,New Caledonia,NCL,7658,-19.054445,-169.867233,-20.904305,165.618042
Niue,NIU,Total,TOT,Samoa,WSM,7658,-19.054445,-169.867233,-13.759029,-172.104629
Norfolk Island,NFK,Total,TOT,Colombia,COL,7658,-29.040835,167.954712,4.570868,-74.297333
